"Country","Region","Happiness Rank","Happiness_Score","Economy","Family","Health (Life Expectancy)","Freedom","Trust (Government Corruption)","Generosity","Dystopia Residual","Happiness"
"Burkina Faso","","121","4.424","0.314","1.097","0.254","0.312","0.128","0.175","","0"
"Burkina Faso","","115","4.587","0.331","1.056","0.38","0.255","0.113","0.177","","0"
"Burundi","","154","2.9049999713898","0.091622568666935","0.62979358434677","0.1516107916832","0.059900753200054","0.20443518459797","0.084147945046425","1.6830241680145","0"
"Burundi","","156","2.905","0.091","0.627","0.145","0.065","0.076","0.149","","0"
"Burundi","Sub-Saharan Africa","157","2.905","0.06831","0.23442","0.15747","0.0432","0.09419","0.2029","2.10404","0"
"Burundi","Sub-Saharan Africa","157","2.905","0.0153","0.41587","0.22396","0.1185","0.10062","0.19727","1.83302","0"
"Burundi","","145","3.775","0.046","0.447","0.38","0.22","0.18","0.176","","0"
"Cambodia","Southeastern Asia","145","3.819","0.46038","0.62736","0.61114","0.66246","0.07247","0.40359","0.98195","0"
"Cambodia","Southeastern Asia","140","3.907","0.55604","0.5375","0.42494","0.58852","0.08092","0.40339","1.31573","0"
"Cambodia","","129","4.1680002212524","0.60176509618759","1.0062383413315","0.42978340387344","0.63337582349777","0.3859229683876","0.068105950951576","1.0429410934448","0"
"Cambodia","","120","4.433","0.549","1.088","0.457","0.696","0.065","0.256","","0"
"Cambodia","","109","4.7","0.574","1.122","0.637","0.609","0.062","0.232","","0"
"Cameroon","Sub-Saharan Africa","133","4.252","0.4225","0.88767","0.23402","0.49309","0.05786","0.20618","1.95071","0"
"Cameroon","Sub-Saharan Africa","114","4.513","0.52497","0.62542","0.12698","0.42736","0.06126","0.2268","2.5198","0"
"Cameroon","","107","4.6950001716614","0.5643053650856","0.94601821899414","0.13289211690426","0.43038874864578","0.23629845678806","0.051306631416082","2.3336455821991","0"
"Cameroon","","99","4.975","0.535","0.891","0.182","0.454","0.043","0.183","","0"
"Cameroon","","96","5.044","0.549","0.91","0.331","0.381","0.037","0.187","","0"
"Canada","","9","7.278","1.365","1.505","1.039","0.584","0.308","0.285","","1"
"Canada","","7","7.3159999847412","1.479204416275","1.481348991394","0.83455765247345","0.61110091209412","0.43553972244263","0.28737151622772","2.1872644424438","1"
"Canada","","7","7.328","1.33","1.532","0.896","0.653","0.291","0.321","","1"
"Canada","North America","6","7.404","1.44015","1.0961","0.8276","0.5737","0.31329","0.44834","2.70485","1"
"Canada","North America","5","7.427","1.32629","1.32261","0.90563","0.63297","0.32957","0.45811","2.45176","1"
"Central African Republic","","155","2.6930000782013","","","0.01877268590033","0.27084204554558","0.28087648749352","0.056565076112747","2.0660047531128","0"
"Central African Republic","","155","3.083","0.026","0","0.105","0.225","0.035","0.235","","0"
"Central African Republic","","155","3.083","0.024","","0.01","0.305","0.038","0.218","","0"
"Central African Republic","Sub-Saharan Africa","148","3.678","0.0785","","0.06699","0.48879","0.08289","0.23835","2.7223","0"
"Chad","Sub-Saharan Africa","149","3.667","0.34193","0.76062","0.1501","0.23501","0.05269","0.18386","1.94296","0"
"Chad","Sub-Saharan Africa","144","3.763","0.42214","0.63178","0.03824","0.12807","0.04952","0.18667","2.30637","0"
